time,temperature_2m,relative_humidity_2m,wind_speed_10m
2023-09-01 00:00:00,25.3,52,10.0
2023-09-01 01:00:00,24.6,51,9.2
2023-09-01 02:00:00,24.1,53,10.4
2023-09-01 03:00:00,23.5,56,10.1
2023-09-01 04:00:00,23.0,58,7.3
2023-09-01 05:00:00,22.9,59,6.5
2023-09-01 06:00:00,22.5,59,6.1
2023-09-01 07:00:00,22.1,62,3.6
2023-09-01 08:00:00,23.0,59,2.9
2023-09-01 09:00:00,24.9,51,1.8
2023-09-01 10:00:00,27.2,43,4.7
2023-09-01 11:00:00,29.1,37,5.4
2023-09-01 12:00:00,31.0,32,5.2
2023-09-01 13:00:00,31.7,33,6.1
2023-09-01 14:00:00,33.4,29,9.2
2023-09-01 15:00:00,34.0,27,10.6
2023-09-01 16:00:00,34.4,26,12.3
2023-09-01 17:00:00,33.0,35,17.6
2023-09-01 18:00:00,30.9,45,18.6
2023-09-01 19:00:00,29.1,49,17.9
2023-09-01 20:00:00,27.1,54,15.9
2023-09-01 21:00:00,25.0,65,14.0
2023-09-01 22:00:00,23.5,75,11.3
2023-09-01 23:00:00,22.7,82,11.9
2023-09-02 00:00:00,22.5,83,12.4
2023-09-02 01:00:00,22.0,82,12.6
2023-09-02 02:00:00,22.2,79,14.9
2023-09-02 03:00:00,22.0,79,12.8
2023-09-02 04:00:00,21.5,82,12.8
2023-09-02 05:00:00,21.1,85,12.0
2023-09-02 06:00:00,20.9,87,10.7
2023-09-02 07:00:00,20.9,86,10.1
2023-09-02 08:00:00,21.2,83,11.6
2023-09-02 09:00:00,22.6,73,10.7
2023-09-02 10:00:00,24.4,64,10.8
2023-09-02 11:00:00,26.0,56,11.9
2023-09-02 12:00:00,27.2,46,15.3
2023-09-02 13:00:00,27.5,41,19.1
2023-09-02 14:00:00,27.4,39,15.3
2023-09-02 15:00:00,27.2,41,19.4
2023-09-02 16:00:00,25.5,47,19.1
2023-09-02 17:00:00,24.0,54,16.2
2023-09-02 18:00:00,23.4,57,13.2
2023-09-02 19:00:00,23.0,60,10.5
2023-09-02 20:00:00,22.0,66,10.8
2023-09-02 21:00:00,21.4,73,12.4
2023-09-02 22:00:00,20.4,79,8.0
2023-09-02 23:00:00,19.6,82,1.8
2023-09-03 00:00:00,19.1,85,5.2
2023-09-03 01:00:00,20.0,86,3.6
2023-09-03 02:00:00,20.0,85,7.0
2023-09-03 03:00:00,19.3,87,6.8
2023-09-03 04:00:00,17.8,93,6.5
2023-09-03 05:00:00,17.5,92,10.3
2023-09-03 06:00:00,17.8,90,8.5
2023-09-03 07:00:00,17.6,93,16.2
2023-09-03 08:00:00,18.0,91,15.3
2023-09-03 09:00:00,18.7,88,13.8
2023-09-03 10:00:00,19.6,84,11.2
2023-09-03 11:00:00,20.9,79,7.3
2023-09-03 12:00:00,20.2,83,3.6
2023-09-03 13:00:00,19.6,80,8.0
2023-09-03 14:00:00,22.2,67,4.3
2023-09-03 15:00:00,21.9,70,1.5
2023-09-03 16:00:00,22.0,70,4.2
2023-09-03 17:00:00,22.8,69,6.2
2023-09-03 18:00:00,23.0,67,8.3
2023-09-03 19:00:00,22.2,70,10.5
2023-09-03 20:00:00,20.9,78,5.1
2023-09-03 21:00:00,20.2,82,3.3
2023-09-03 22:00:00,19.5,85,8.7
2023-09-03 23:00:00,18.4,90,7.4
2023-09-04 00:00:00,17.8,94,6.8
2023-09-04 01:00:00,17.6,95,2.9
2023-09-04 02:00:00,17.7,95,4.5
2023-09-04 03:00:00,17.5,96,1.0
2023-09-04 04:00:00,17.0,99,1.1
2023-09-04 05:00:00,16.6,100,2.6
2023-09-04 06:00:00,16.5,100,3.9
2023-09-04 07:00:00,16.0,100,5.8
2023-09-04 08:00:00,16.6,99,4.0
2023-09-04 09:00:00,19.1,86,2.8
2023-09-04 10:00:00,21.7,71,5.2
