id,nombre,altura,peso,experiencia_base,es_predeterminado,tipos,habilidades,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,stat_total,url_sprite,url_imagen_oficial
1,Bulbasaur,0.7,6.9,64.0,True,"Grass,Poison","Overgrow,Chlorophyll",45,49,49,65,65,45,318,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,Ivysaur,1.0,13.0,142.0,True,"Grass,Poison","Overgrow,Chlorophyll",60,62,63,80,80,60,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,Venusaur,2.0,100.0,236.0,True,"Grass,Poison","Overgrow,Chlorophyll",80,82,83,100,100,80,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,Charmander,0.6,8.5,62.0,True,Fire,"Blaze,Solar-power",39,52,43,60,50,65,309,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,Charmeleon,1.1,19.0,142.0,True,Fire,"Blaze,Solar-power",58,64,58,80,65,80,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,Charizard,1.7,90.5,240.0,True,"Fire,Flying","Blaze,Solar-power",78,84,78,109,85,100,534,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,Squirtle,0.5,9.0,63.0,True,Water,"Torrent,Rain-dish",44,48,65,50,64,43,314,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,Wartortle,1.0,22.5,142.0,True,Water,"Torrent,Rain-dish",59,63,80,65,80,58,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,Blastoise,1.6,85.5,239.0,True,Water,"Torrent,Rain-dish",79,83,100,85,105,78,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,Caterpie,0.3,2.9,39.0,True,Bug,"Shield-dust,Run-away",45,30,35,20,20,45,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,Metapod,0.7,9.9,72.0,True,Bug,Shed-skin,50,20,55,25,25,30,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
