id,nombre,altura,peso,experiencia_base,es_predeterminado,tipos,habilidades,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,stat_total,url_sprite,url_imagen_oficial,proporcion_peso_altura,stats_equilibrados,es_dual_tipo,cantidad_habilidades,generacion
1,Bulbasaur,0.7,6.9,64.0,True,"Grass,Poison","Overgrow,Chlorophyll",45,49,49,65,65,45,318,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,8.625000000000002,47.666666666666664,1,2,Gen I
2,Ivysaur,1.0,13.0,142.0,True,"Grass,Poison","Overgrow,Chlorophyll",60,62,63,80,80,60,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,11.818181818181817,61.666666666666664,1,2,Gen I
3,Venusaur,2.0,100.0,236.0,True,"Grass,Poison","Overgrow,Chlorophyll",80,82,83,100,100,80,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,47.61904761904762,81.66666666666667,1,2,Gen I
4,Charmander,0.6,8.5,62.0,True,Fire,"Blaze,Solar-power",39,52,43,60,50,65,309,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,12.142857142857144,44.666666666666664,0,2,Gen I
5,Charmeleon,1.1,19.0,142.0,True,Fire,"Blaze,Solar-power",58,64,58,80,65,80,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,15.83333333333333,60.0,0,2,Gen I
6,Charizard,1.7,90.5,240.0,True,"Fire,Flying","Blaze,Solar-power",78,84,78,109,85,100,534,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,50.27777777777778,80.0,1,2,Gen I
7,Squirtle,0.5,9.0,63.0,True,Water,"Torrent,Rain-dish",44,48,65,50,64,43,314,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,15.0,52.333333333333336,0,2,Gen I
8,Wartortle,1.0,22.5,142.0,True,Water,"Torrent,Rain-dish",59,63,80,65,80,58,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,20.454545454545453,67.33333333333333,0,2,Gen I
9,Blastoise,1.6,85.5,239.0,True,Water,"Torrent,Rain-dish",79,83,100,85,105,78,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,50.29411764705882,87.33333333333333,0,2,Gen I
10,Caterpie,0.3,2.9,39.0,True,Bug,"Shield-dust,Run-away",45,30,35,20,20,45,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,7.249999999999999,36.666666666666664,0,2,Gen I
11,Metapod,0.7,9.9,72.0,True,Bug,Shed-skin,50,20,55,25,25,30,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,12.375000000000002,41.666666666666664,0,1,Gen I
12,Butterfree,1.1,32.0,178.0,True,"Bug,Flying","Compound-eyes,Tinted-lens",60,45,50,90,80,70,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,26.666666666666664,51.666666666666664,1,2,Gen I
13,Weedle,0.3,3.2,39.0,True,"Bug,Poison","Shield-dust,Run-away",40,35,30,20,20,50,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,8.0,35.0,1,2,Gen I
14,Kakuna,0.6,10.0,72.0,True,"Bug,Poison",Shed-skin,45,25,50,25,25,35,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,14.285714285714286,40.0,1,1,Gen I
15,Beedrill,1.0,29.5,178.0,True,"Bug,Poison","Swarm,Sniper",65,90,40,45,80,75,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,26.818181818181817,65.0,1,2,Gen I
16,Pidgey,0.3,1.8,50.0,True,"Normal,Flying","Keen-eye,Tangled-feet,Big-pecks",40,45,40,35,35,56,251,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,4.5,41.666666666666664,1,3,Gen I
17,Pidgeotto,1.1,30.0,122.0,True,"Normal,Flying","Keen-eye,Tangled-feet,Big-pecks",63,60,55,50,50,71,349,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,24.999999999999996,59.333333333333336,1,3,Gen I
18,Pidgeot,1.5,39.5,216.0,True,"Normal,Flying","Keen-eye,Tangled-feet,Big-pecks",83,80,75,70,70,101,479,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,24.6875,79.33333333333333,1,3,Gen I
19,Rattata,0.3,3.5,51.0,True,Normal,"Run-away,Guts,Hustle",30,56,35,25,35,72,253,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,8.75,40.333333333333336,0,3,Gen I
20,Raticate,0.7,18.5,145.0,True,Normal,"Run-away,Guts,Hustle",55,81,60,50,70,97,413,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,23.125000000000004,65.33333333333333,0,3,Gen I
21,Spearow,0.3,2.0,52.0,True,"Normal,Flying","Keen-eye,Sniper",40,60,30,31,31,70,262,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,5.0,43.333333333333336,1,2,Gen I
