id_venta,fecha,unidades,importe,canal,ciudad_x,cod_postal,municipio_id,id_hash,ciudad_y,cp_trunc,decada_nacimiento
1,2025-02-22,7,5.35,app,Sevilla,41005,410,27d719c754aacd492a6dc8a1b76619355abcf5ef473cbec02018d3c57ebbf0d5,Sevilla,410,1990s
2,2025-01-24,9,263.07,web,Zaragoza,50001,500,0f4121d0ef1df4c86854c7ebb47ae1c93de8aec8f944035eeaa6495dd71a0678,Zaragoza,500,1960s
3,2025-02-21,7,147.23,web,Valladolid,47010,470,85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Valladolid,470,1990s
4,2025-01-07,5,130.52,web,Málaga,29001,290,9cfd3c755be26b4e1645918e2a64a26e3d851ede421e0b257f783b443bc443d1,Málaga,290,1970s
5,2025-02-28,5,258.42,app,Valencia,46002,460,2abaca4911e68fa9bfbf3482ee797fd5b9045b841fdff7253557c5fe15de6477,Valencia,460,1980s
6,2025-01-27,1,81.05,app,Madrid,28003,280,efd96aedf377e20afd95285a7c751a864260bd6a149656a4040c5b7757bdbbb6,Madrid,280,1980s
7,2025-02-06,9,159.15,tienda,Murcia,30002,300,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Murcia,300,1960s
8,2025-02-11,6,65.6,web,Murcia,30001,300,684fe39f03758de6a882ae61fa62312b67e5b1e665928cbf3dc3d8f4f53e3562,Murcia,300,1960s
9,2025-01-07,10,50.66,web,Bilbao,48001,480,2811745d7b8d8874f6e653d176cefdd19e05e920ce389b9b7e83e5b2dfa546c7,Bilbao,480,1980s
10,2025-02-24,10,163.15,web,Bilbao,48002,480,5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,Bilbao,480,1980s
11,2025-02-13,4,122.25,web,Sevilla,41010,410,d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,Sevilla,410,1960s
12,2025-02-20,3,169.48,web,Sevilla,41005,410,e0850a775c17a87060c0cf6efad1020e0cbef5a44ba942bef6add5776598de53,Sevilla,410,1960s
13,2025-02-05,5,147.71,app,Sevilla,41005,410,d7cdaa5ca0582076c8e772cce739e32c5077cfd24f2ea33f04bb754594989a56,Sevilla,410,1980s
14,2025-02-19,3,213.12,app,Valladolid,47002,470,8cd2510271575d8430c05368315a87b9c4784c7389a47496080c1e615a2a00b6,Valladolid,470,1970s
15,2025-02-17,3,72.78,tienda,Valencia,46023,460,d029fa3a95e174a19934857f535eb9427d967218a36ea014b70ad704bc6c8d1c,Valencia,460,2000s
16,2025-02-02,6,123.17,app,Bilbao,48003,480,9bdb2af6799204a299c603994b8e400e4b1fd625efdb74066cc869fee42c9df3,Bilbao,480,1980s
17,2025-01-11,1,119.79,tienda,Valencia,46021,460,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Valencia,460,1980s
