size,bedrooms,age,price
87,1,94,160412
155,2,17,346558
74,5,54,242441
45,1,27,101823
288,5,3,708190
131,6,83,386656
244,2,57,524509
172,1,97,325431
246,3,35,548094
140,3,13,342839
224,1,45,456270
165,1,93,322854
93,4,10,290089
180,6,79,480250
128,6,8,394301
146,3,10,360628
81,4,35,252857
216,2,47,464841
137,6,34,402739
117,5,93,319821
113,4,48,305645
142,6,41,409432
147,1,40,306145
167,1,27,356785
191,2,83,405158
232,6,58,585481
165,2,31,375994
164,6,74,452438
234,3,28,526332
290,4,11,667143
86,2,80,185242
246,5,8,616408
225,5,59,558738
158,5,1,434353
166,6,43,458455
180,4,20,456867
31,6,92,173830
286,2,64,589886
182,6,64,498354
131,2,47,288493
30,5,41,174610
39,1,46,84676
152,1,30,325591
70,1,93,133724
65,5,98,209920
95,6,60,324015
114,3,67,286076
246,2,69,510991
189,4,85,446236
254,5,57,604165
156,2,8,359878
40,5,70,174540
142,1,9,297329
147,1,4,318227
66,5,30,244125
278,2,69,572735
272,2,100,559498
238,2,12,514376
250,3,54,556870
269,6,6,678824
61,4,93,185918
85,2,24,206632
259,2,54,542412
172,4,31,424070
256,5,12,623857
37,1,96,58345
115,4,62,310973
139,4,7,370594
224,1,49,452090
262,3,54,585611
279,2,24,598122
141,1,74,285166
61,6,40,247873
55,5,61,217077
110,1,65,211625
125,1,76,236826
150,4,15,402667
156,5,76,397902
71,4,84,217525
297,3,33,652493
190,2,33,419769
97,6,82,311030
264,3,96,556977
34,4,79,144848
81,1,68,156784
289,3,16,648036
65,2,47,160538
110,4,69,292312
300,1,85,599173
183,6,13,505200
165,1,13,357928
109,3,36,288419
137,6,43,403471
165,5,62,428428
56,1,81,108479
171,1,0,367929
96,6,33,324094
256,5,90,605014
34,1,9,84284
48,3,74,149505
105,4,16,294970
187,3,5,448724
137,6,31,404968
211,5,52,521264
151,2,22,346710
42,2,94,97285
240,6,94,590531
166,2,100,335542
225,1,60,448288
132,4,44,346400
146,2,3,337128
234,3,35,521274
172,3,82,392892
234,6,68,591651
44,1,33,95651
165,1,13,359348
252,3,93,542078
253,5,65,598789
227,5,24,567746
52,6,55,222055
296,5,87,678656
216,4,8,529619
190,6,15,523840
289,3,85,622382
197,4,89,458088
95,2,53,221223
119,5,72,334061
237,5,0,598957
176,2,55,389004
194,4,56,470088
139,5,60,374560
73,3,65,195983
77,2,86,169771
145,2,18,323600
53,2,60,124386
263,4,80,602863
129,6,89,374982
283,4,31,648435
32,1,99,53331
142,2,89,305372
267,1,71,528765
92,4,17,282425
192,4,78,459340
248,5,57,593415
273,4,33,630901
171,5,62,440039
170,4,9,435762
150,3,42,358676
71,2,19,181977
226,6,19,591410
62,4,52,204042
268,4,7,629977
245,4,98,559939
40,5,48,191429
33,3,38,128579
244,5,95,582895
142,4,28,371743
253,4,3,607542
202,6,86,522848
114,4,16,329102
43,4,75,164493
43,1,82,82244
99,4,23,280447
163,4,41,406535
262,3,43,584223
172,4,32,423883
270,1,95,534675
56,3,28,168048
50,1,31,109132
40,5,19,195216
94,4,85,247748
141,4,89,344796
