"Invoice ID","Branch","City","Customer type","Gender","Product line","Unit price","Quantity","Tax 5%","Total","Date","Time","Payment","Cost of goods sold","Gross margin percentage","Gross income","Rating"
"750-67-8428","A","Yangon","Member","Female","Health and beauty","74.69","7","26.1415","548.9715","2019-01-05","13:08","Ewallet","522.83","4.761904762","26.1415","9.1"
"226-31-3081","C","Naypyitaw","Normal","Female","Electronic accessories","15.28","5","3.82","80.22","2019-03-08","10:29","Cash","76.40","4.761904762","3.82","9.6"
"631-41-3108","A","Yangon","Normal","Male","Home and lifestyle","46.33","7","16.2155","340.5255","2019-03-03","13:23","Credit card","324.31","4.761904762","16.2155","7.4"
"123-19-1176","A","Yangon","Member","Male","Sports and travel","58.22","8","23.288","489.048","2019-01-27","20:33","Ewallet","465.76","4.761904762","23.288","8.4"
"373-73-7910","B","Mandalay","Normal","Male","Health and beauty","86.31","7","30.2085","634.3785","2019-02-08","10:37","Credit card","604.17","4.761904762","30.2085","5.3"
"699-14-3026","C","Naypyitaw","Member","Female","Electronic accessories","85.39","7","29.8865","627.6165","2019-03-25","18:30","Ewallet","597.73","4.761904762","29.8865","4.1"
"355-53-5943","A","Yangon","Member","Male","Home and lifestyle","68.84","6","20.652","433.692","2019-02-25","14:36","Ewallet","413.04","4.761904762","20.652","5.8"
"315-22-5665","B","Mandalay","Normal","Female","Fashion accessories","73.56","10","36.78","772.38","2019-02-24","11:38","Cash","735.60","4.761904762","36.78","8.0"
"665-32-9167","B","Mandalay","Member","Female","Food and beverages","36.26","2","3.626","76.146","2019-01-10","12:12","Credit card","72.52","4.761904762","3.626","7.2"
"692-92-5582","C","Naypyitaw","Normal","Male","Sports and travel","62.54","2","6.254","131.334","2019-02-20","17:45","Credit card","125.08","4.761904762","6.254","6.6"
"235-33-8936","C","Naypyitaw","Member","Male","Home and lifestyle","11,71","9","5,2695","110,6595","2019-02-25","17:47","Cash","105,39","4,761904762","5,2695","9,2"
"203-24-7540","A","Yangon","Member","Female","Fashion accessories","58,1","6","17,43","366,03","2019-01-07","13:24","Cash","348,6","4,761904762","17,43","5"
"257-36-1817","A","Yangon","Normal","Female","Food and beverages","10,07","6","3,021","63,441","2019-02-21","11:40","Cash","60,42","4,761904762","3,021","6,5"
"912-61-1169","C","Naypyitaw","Normal","Male","Electronic accessories","73,59","6","22,077","463,617","2019-01-27","20:23","Credit card","441,54","4,761904762","22,077","5,8"
"571-88-5929","B","Mandalay","Member","Male","Food and beverages","45,45","7","15,9075","334,0575","2019-01-16","18:40","Ewallet","318,15","4,761904762","15,9075","5"
"377-64-2890","B","Mandalay","Member","Male","Food and beverages","47,82","9","21,519","451,899","2019-03-10","17:10","Ewallet","430,38","4,761904762","21,519","7,1"
"144-51-1857","B","Mandalay","Member","Female","Sports and travel","69,17","7","24,2095","508,3995","2019-02-14","13:34","Ewallet","484,19","4,761904762","24,2095","9,8"
"697-37-8403","C","Naypyitaw","Normal","Female","Home and lifestyle","17,16","1","0,858","18,018","2019-01-10","20:14","Ewallet","17,16","4,761904762","0,858","8,3"
"887-80-6486","C","Naypyitaw","Member","Male","Sports and travel","17,23","3","2,5845","54,2745","2019-01-17","10:14","Ewallet","51,69","4,761904762","2,5845","6,1"
"132-56-9790","B","Mandalay","Normal","Female","Food and beverages","49,86","9","22,437","471,177","2019-03-02","11:22","Credit card","448,74","4,761904762","22,437","5,9"
"140-44-6425","B","Mandalay","Member","Female","Health and beauty","17,23","5","4,3075","90,4575","2019-01-06","15:43","Credit card","86,15","4,761904762","4,3075","6,5"
"711-85-5808","A","Yangon","Normal","Female","Fashion accessories","60,76","9","27,342","574,182","2019-01-12","18:34","Cash","546,84","4,761904762","27,342","5,3"
"848-24-5884","A","Yangon","Member","Male","Home and lifestyle","86,74","8","34,696","728,616","2019-02-23","11:44","Credit card","693,92","4,761904762","34,696","5,1"
"493-44-6808","B","Mandalay","Member","Male","Food and beverages","29,01","8","11,604","243,684","2019-01-24","18:17","Credit card","232,08","4,761904762","11,604","5,5"
"673-44-9533","B","Mandalay","Normal","Female","Health and beauty","82,5","6","24,75","519,75","2019-03-13","19:55","Credit card","495","4,761904762","24,75","4,9"
