order_id,customer_id,fecha,canal,sku,qty,price,cost
1,2807,2024-06-01,web,SKU0083,1,5.09,2.9
1,2807,2024-06-01,web,SKU0018,1,27.07,20.59
2,768,2024-06-01,app,SKU0009,2,10.4,6.86
2,768,2024-06-01,app,SKU0027,1,6.48,4.69
3,1768,2024-06-01,tienda,SKU0087,1,5.4,3.69
3,1768,2024-06-01,tienda,SKU0001,2,17.08,13.63
4,348,2024-06-01,tienda,SKU0057,1,5.11,3.7
4,348,2024-06-01,tienda,SKU0017,2,12.97,9.57
4,348,2024-06-01,tienda,SKU0032,1,4.48,2.72
5,1994,2024-06-01,tienda,SKU0085,2,13.72,8.36
5,1994,2024-06-01,tienda,SKU0055,4,11.62,8.04
5,1994,2024-06-01,tienda,SKU0083,1,3.99,2.14
5,1994,2024-06-01,tienda,SKU0076,4,23.17,17.13
6,2831,2024-06-01,web,SKU0070,1,20.29,13.87
6,2831,2024-06-01,web,SKU0017,2,16.61,10.5
6,2831,2024-06-01,web,SKU0093,1,15.69,9.93
6,2831,2024-06-01,web,SKU0022,1,20.29,11.93
7,2141,2024-06-01,tienda,SKU0032,3,11.63,7.11
7,2141,2024-06-01,tienda,SKU0033,1,23.87,16.27
7,2141,2024-06-01,tienda,SKU0050,2,19.3,14.8
8,2011,2024-06-01,app,SKU0072,1,18.73,10.69
8,2011,2024-06-01,app,SKU0024,2,6.45,4.58
9,301,2024-06-01,tienda,SKU0083,1,12.48,8.6
9,301,2024-06-01,tienda,SKU0059,2,10.72,6.61
9,301,2024-06-01,tienda,SKU0092,1,4.29,2.69
9,301,2024-06-01,tienda,SKU0005,2,18.37,10.42
10,2860,2024-06-01,web,SKU0081,1,14.23,8.2
10,2860,2024-06-01,web,SKU0093,1,11.84,7.39
10,2860,2024-06-01,web,SKU0032,1,23.2,17.77
10,2860,2024-06-01,web,SKU0044,1,31.13,17.46
11,1536,2024-06-01,app,SKU0090,2,10.8,7.36
11,1536,2024-06-01,app,SKU0092,1,6.35,4.12
12,175,2024-06-01,app,SKU0045,3,17.32,11.69
13,1399,2024-06-01,app,SKU0037,2,15.43,8.61
13,1399,2024-06-01,app,SKU0087,1,14.28,9.52
14,686,2024-06-01,tienda,SKU0054,1,9.15,6.34
15,2226,2024-06-01,app,SKU0056,2,28.35,21.19
16,380,2024-06-01,app,SKU0016,1,25.74,20.58
17,1672,2024-06-01,tienda,SKU0034,1,18.97,12.7
