id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
1,India,1463865525,1,12929734,492,2973190,-495753,2,29,37.0,18
2,China,1416096094,0,-3225184,151,9388211,-268126,1,40,68.0,17
3,United States,347275807,1,1849236,38,9147420,1230663,2,38,83.0,4
4,Indonesia,285721236,1,2233305,158,1811570,-39509,2,30,60.0,3
5,Pakistan,255219554,2,3950390,331,770880,-1235336,4,21,34.0,3
6,Nigeria,237527782,2,4848304,261,910770,-15258,4,18,55.0,3
7,Brazil,212812405,0,813832,25,8358140,-217283,2,35,91.0,3
8,Bangladesh,175686899,1,2124535,1350,130170,-402100,2,26,43.0,2
9,Russia,143997393,-1,-823030,9,16376870,-251822,1,40,75.0,2
10,Ethiopia,135472051,3,3412284,135,1000000,24054,4,19,22.0,2
11,Mexico,131946900,1,1085893,68,1943950,-108037,2,30,88.0,2
12,Japan,123103479,-1,-649562,338,364555,140579,1,50,93.0,2
13,Egypt,118365995,2,1827737,119,995450,-57305,3,24,41.0,1
14,Philippines,116786962,1,943292,392,298170,-149315,2,26,49.0,1
15,DR Congo,112832473,3,3556208,50,2267050,-27309,6,16,45.0,1
16,Vietnam,101598527,1,610841,328,310070,-48171,2,33,41.0,1
17,Iran,92417681,1,849943,57,1628550,116786,2,34,73.0,1
18,Turkey,87685426,0,211621,114,769630,-258205,2,34,77.0,1
19,Germany,84075075,-1,-477167,241,348560,-334072,1,46,76.0,1
20,Thailand,71619863,0,-48148,140,510890,27509,1,41,54.0,1
21,Tanzania,70545865,3,1985708,80,885800,-12730,4,18,40.0,1
22,United Kingdom,69551332,1,413140,287,241930,389911,2,40,84.0,1
23,France,66650804,0,102274,122,547557,91737,2,42,82.0,1
24,South Africa,64747319,1,740132,53,1213090,146370,2,29,67.0,1
25,Italy,59146260,0,-196607,201,294140,75448,1,48,72.0,1
26,Kenya,57532493,2,1099549,101,569140,-27330,3,20,32.0,1
27,Myanmar,54850648,1,350557,84,653290,-39661,2,30,34.0,1
28,Colombia,53425635,1,539272,48,1109500,129139,2,32,80.0,1
