Hábito de compra,Sexo,Edad,Tiempo en la tienda online
Comprar ahora,mujer,22,40
Comprar ahora,mujer,25,23
Comprar ahora,hombre,18,12
Comprar ahora,hombre,45,28
Comprar ahora,mujer,12,43
Comprar ahora,hombre,43,23
Comprar ahora,hombre,23,55
Comprar ahora,hombre,33,34
Comprar después,mujer,27,28
Comprar después,mujer,27,15
Comprar después,hombre,48,110
Comprar después,hombre,34,28
Comprar después,hombre,32,11
Comprar después,hombre,66,32
Comprar después,hombre,24,23
Comprar después,mujer,34,44
No comprar nada,mujer,27,55
No comprar nada,mujer,34,65
No comprar nada,hombre,55,56
No comprar nada,hombre,65,80
No comprar nada,hombre,44,66
No comprar nada,mujer,88,44
No comprar nada,mujer,33,65
No comprar nada,mujer,43,34
