title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
The Shawshank Redemption,1994,,142 min,Frank Darabont,9.3,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,1972,,175 min,Francis Ford Coppola,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando, Al Pacino, James Caan"
The Dark Knight,2008,,152 min,Christopher Nolan,9.1,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Christian Bale, Heath Ledger, Aaron Eckhart"
Pulp Fiction,1994,,154 min,Quentin Tarantino,8.8,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta, Uma Thurman, Samuel L. Jackson"
Forrest Gump,1994,,142 min,Robert Zemeckis,8.8,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Tom Hanks, Robin Wright, Gary Sinise"
Inception,2010,,148 min,Christopher Nolan,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
The Matrix,1999,,136 min,"Lana Wachowski, Lilly Wachowski",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
Interstellar,2014,,169 min,Christopher Nolan,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Matthew McConaughey, Anne Hathaway, Jessica Chastain"
The Avengers,2012,,143 min,Joss Whedon,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
Gladiator,2000,,155 min,Ridley Scott,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Titanic,1997,,194 min,James Cameron,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Leonardo DiCaprio, Kate Winslet, Billy Zane"
Avatar,2009,,162 min,James Cameron,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"Sam Worthington, Zoe Saldaña, Sigourney Weaver"
The Lion King,1994,,88 min,"Roger Allers, Rob Minkoff",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick, Jeremy Irons, James Earl Jones"
